,model_clstr,fitness,precision
0,cluster2-medoid0,0.9997876207413665,0.11266226499552368
1,cluster2-medoid1,0.9998235887644799,0.21655562233845294
2,cluster2-medoid2,0.9997740971190916,0.14035407921153498
3,cluster2-medoid3,0.9998004155349189,0.17242429641208956
4,cluster2-medoid4,0.9998049078106465,0.1438613298873751
5,cluster2-medoid5,0.9998010491870074,0.15746499782436207
6,cluster2-medoid6,0.9998000046152781,0.12942414728129015
7,cluster2-medoid7,0.9998469084196256,0.16747844283291846
8,cluster2-medoid8,0.9997076771750071,0.18416893075692553
9,cluster2-medoid9,0.9997882124333234,0.1195372391024565
10,cluster2-medoid10,0.9996380306444508,0.19232515894641233
11,cluster2-medoid11,0.9997791356032278,0.129558192008152
12,cluster2-medoid12,0.9997579375179667,0.15416527207708708
13,cluster2-medoid13,0.9997817407195798,0.16249783797448147
14,cluster2-medoid14,0.9998687780936407,0.17231885953439707
15,cluster0-medoid0,0.999828876121411,0.1530782029950083
16,cluster0-medoid1,0.999852781981439,0.20801787265731664
17,cluster0-medoid2,0.9998850141483877,0.15013674967611923
18,cluster0-medoid3,0.9999196598266031,0.3161676646706587
19,cluster0-medoid4,0.999848726493468,0.21348762968874702
20,cluster0-medoid5,0.999762873184721,0.1434658564600393
21,cluster0-medoid6,0.9997917387949563,0.10000911660133105
22,cluster0-medoid7,0.9998055793052646,0.19183664330654004
23,cluster0-medoid8,0.9998620986420688,0.17645398080180685
24,cluster0-medoid9,0.9998315384460231,0.3086350974930362
25,cluster1-medoid0,0.9998547023449332,0.15539512333227168
26,cluster1-medoid1,0.9998035569398437,0.14597521255446044
27,cluster1-medoid2,0.9998243998837576,0.18076545632973506
28,cluster1-medoid3,0.9998445241151964,0.13077517881306788
29,cluster1-medoid4,0.9999262908584405,0.20427005193306402
30,cluster1-medoid5,0.9998496749540168,0.21842230695900855
31,cluster1-medoid6,0.9998032324214233,0.1466304136725578
32,cluster1-medoid7,0.9998126443627381,0.18833465675304983
33,cluster1-medoid8,0.9997977568317085,0.2030057052738995
34,cluster1-medoid9,0.9998755610480334,0.16555407209612816
35,cluster1-medoid10,0.9998461543807009,0.22232277526395172
36,cluster1-medoid11,0.9998816895320876,0.29969418960244654
37,cluster1-medoid12,0.9997890876369799,0.13649825002243565
38,cluster1-medoid13,0.9997523648887032,0.18364460915784853
39,cluster1-medoid14,0.9997872304572833,0.10846183980911006
