,model_clstr,fitness,precision
0,cluster6-medoid0,1.0,1.0
1,cluster6-medoid1,1.0,1.0
2,cluster6-medoid2,1.0,1.0
3,cluster6-medoid3,1.0,1.0
4,cluster4-medoid0,1.0,1.0
5,cluster4-medoid1,1.0,1.0
6,cluster4-medoid2,1.0,1.0
7,cluster4-medoid3,1.0,1.0
8,cluster0-medoid0,1.0,1.0
9,cluster0-medoid1,1.0,1.0
10,cluster1-medoid0,1.0,1.0
11,cluster1-medoid1,1.0,1.0
12,cluster1-medoid2,0.9999991525474001,0.9730639730639731
13,cluster2-medoid0,0.999940001679953,0.694267515923567
14,cluster2-medoid1,1.0,1.0
15,cluster2-medoid2,1.0,1.0
16,cluster2-medoid3,1.0,0.9888682745825603
17,cluster3-medoid0,1.0,1.0
18,cluster3-medoid1,0.999995890433477,0.9111111111111111
19,cluster3-medoid2,0.9999405415047323,0.9538461538461538
20,cluster5-medoid0,1.0,1.0
21,cluster5-medoid1,0.999957447080125,1.0
22,cluster5-medoid2,0.9999979695668527,0.9713261648745519
