cluster_x,cluster_y,similarity,similarity_type
cluster1-medoid0,cluster1-medoid1,12.0,single
cluster1-medoid0,cluster1-medoid1,79.0,complete
cluster1-medoid0,cluster1-medoid1,35.67741292451392,average
cluster1-medoid0,cluster1-medoid1,24.0,centroid
cluster1-medoid0,cluster1-medoid1,29.81580624601657,average_centroid
cluster1-medoid0,cluster1-medoid2,1.0,single
cluster1-medoid0,cluster1-medoid2,62.0,complete
cluster1-medoid0,cluster1-medoid2,24.737192364335584,average
cluster1-medoid0,cluster1-medoid2,11.0,centroid
cluster1-medoid0,cluster1-medoid2,19.289902280130292,average_centroid
cluster1-medoid0,cluster0-medoid0,4.0,single
cluster1-medoid0,cluster0-medoid0,80.0,complete
cluster1-medoid0,cluster0-medoid0,35.92680003795202,average
cluster1-medoid0,cluster0-medoid0,24.0,centroid
cluster1-medoid0,cluster0-medoid0,30.04811898512686,average_centroid
cluster1-medoid0,cluster0-medoid1,0.0,single
cluster1-medoid0,cluster0-medoid1,56.0,complete
cluster1-medoid0,cluster0-medoid1,18.550687107122158,average
cluster1-medoid0,cluster0-medoid1,0.0,centroid
cluster1-medoid0,cluster0-medoid1,12.196501674730182,average_centroid
cluster1-medoid0,cluster0-medoid2,1.0,single
cluster1-medoid0,cluster0-medoid2,62.0,complete
cluster1-medoid0,cluster0-medoid2,24.95299110060216,average
cluster1-medoid0,cluster0-medoid2,11.0,centroid
cluster1-medoid0,cluster0-medoid2,19.372401702980216,average_centroid
cluster1-medoid0,cluster2-medoid0,1.0,single
cluster1-medoid0,cluster2-medoid0,73.0,complete
cluster1-medoid0,cluster2-medoid0,34.68998327378336,average
cluster1-medoid0,cluster2-medoid0,23.0,centroid
cluster1-medoid0,cluster2-medoid0,29.056531703590526,average_centroid
cluster1-medoid0,cluster2-medoid1,0.0,single
cluster1-medoid0,cluster2-medoid1,62.0,complete
cluster1-medoid0,cluster2-medoid1,23.279923267017843,average
cluster1-medoid0,cluster2-medoid1,10.0,centroid
cluster1-medoid0,cluster2-medoid1,18.515390121689336,average_centroid
cluster1-medoid0,cluster2-medoid2,0.0,single
cluster1-medoid0,cluster2-medoid2,49.0,complete
cluster1-medoid0,cluster2-medoid2,18.100906493373174,average
cluster1-medoid0,cluster2-medoid2,3.0,centroid
cluster1-medoid0,cluster2-medoid2,12.537391304347826,average_centroid
cluster1-medoid1,cluster1-medoid0,12.0,single
cluster1-medoid1,cluster1-medoid0,79.0,complete
cluster1-medoid1,cluster1-medoid0,35.67741292451392,average
cluster1-medoid1,cluster1-medoid0,24.0,centroid
cluster1-medoid1,cluster1-medoid0,29.81580624601657,average_centroid
cluster1-medoid1,cluster1-medoid2,6.0,single
cluster1-medoid1,cluster1-medoid2,78.0,complete
cluster1-medoid1,cluster1-medoid2,25.786760790286387,average
cluster1-medoid1,cluster1-medoid2,13.0,centroid
cluster1-medoid1,cluster1-medoid2,20.08256880733945,average_centroid
cluster1-medoid1,cluster0-medoid0,0.0,single
cluster1-medoid1,cluster0-medoid0,78.0,complete
cluster1-medoid1,cluster0-medoid0,15.021503784648424,average
cluster1-medoid1,cluster0-medoid0,0.0,centroid
cluster1-medoid1,cluster0-medoid0,9.36051948051948,average_centroid
cluster1-medoid1,cluster0-medoid1,12.0,single
cluster1-medoid1,cluster0-medoid1,79.0,complete
cluster1-medoid1,cluster0-medoid1,35.96798461773459,average
cluster1-medoid1,cluster0-medoid1,24.0,centroid
cluster1-medoid1,cluster0-medoid1,30.018087855297157,average_centroid
cluster1-medoid1,cluster0-medoid2,6.0,single
cluster1-medoid1,cluster0-medoid2,76.0,complete
cluster1-medoid1,cluster0-medoid2,25.637362154691278,average
cluster1-medoid1,cluster0-medoid2,13.0,centroid
cluster1-medoid1,cluster0-medoid2,19.963840899959823,average_centroid
cluster1-medoid1,cluster2-medoid0,0.0,single
cluster1-medoid1,cluster2-medoid0,72.0,complete
cluster1-medoid1,cluster2-medoid0,14.330077601803428,average
cluster1-medoid1,cluster2-medoid0,1.0,centroid
cluster1-medoid1,cluster2-medoid0,9.071813285457809,average_centroid
cluster1-medoid1,cluster2-medoid1,7.0,single
cluster1-medoid1,cluster2-medoid1,73.0,complete
cluster1-medoid1,cluster2-medoid1,26.490569064876656,average
cluster1-medoid1,cluster2-medoid1,14.0,centroid
cluster1-medoid1,cluster2-medoid1,21.2015503875969,average_centroid
cluster1-medoid1,cluster2-medoid2,14.0,single
cluster1-medoid1,cluster2-medoid2,79.0,complete
cluster1-medoid1,cluster2-medoid2,36.29131187889125,average
cluster1-medoid1,cluster2-medoid2,27.0,centroid
cluster1-medoid1,cluster2-medoid2,31.84318016046681,average_centroid
cluster1-medoid2,cluster1-medoid0,1.0,single
cluster1-medoid2,cluster1-medoid0,62.0,complete
cluster1-medoid2,cluster1-medoid0,24.737192364335584,average
cluster1-medoid2,cluster1-medoid0,11.0,centroid
cluster1-medoid2,cluster1-medoid0,19.289902280130292,average_centroid
cluster1-medoid2,cluster1-medoid1,6.0,single
cluster1-medoid2,cluster1-medoid1,78.0,complete
cluster1-medoid2,cluster1-medoid1,25.786760790286387,average
cluster1-medoid2,cluster1-medoid1,13.0,centroid
cluster1-medoid2,cluster1-medoid1,20.08256880733945,average_centroid
cluster1-medoid2,cluster0-medoid0,3.0,single
cluster1-medoid2,cluster0-medoid0,77.0,complete
cluster1-medoid2,cluster0-medoid0,26.058597381545805,average
cluster1-medoid2,cluster0-medoid0,13.0,centroid
cluster1-medoid2,cluster0-medoid0,20.352893565358155,average_centroid
cluster1-medoid2,cluster0-medoid1,1.0,single
cluster1-medoid2,cluster0-medoid1,66.0,complete
cluster1-medoid2,cluster0-medoid1,25.114134756499205,average
cluster1-medoid2,cluster0-medoid1,11.0,centroid
cluster1-medoid2,cluster0-medoid1,19.611865942028984,average_centroid
cluster1-medoid2,cluster0-medoid2,0.0,single
cluster1-medoid2,cluster0-medoid2,57.0,complete
cluster1-medoid2,cluster0-medoid2,17.351298149662824,average
cluster1-medoid2,cluster0-medoid2,0.0,centroid
cluster1-medoid2,cluster0-medoid2,11.423064250411862,average_centroid
cluster1-medoid2,cluster2-medoid0,1.0,single
cluster1-medoid2,cluster2-medoid0,63.0,complete
cluster1-medoid2,cluster2-medoid0,25.093740041649067,average
cluster1-medoid2,cluster2-medoid0,12.0,centroid
cluster1-medoid2,cluster2-medoid0,19.773493975903616,average_centroid
cluster1-medoid2,cluster2-medoid1,0.0,single
cluster1-medoid2,cluster2-medoid1,55.0,complete
cluster1-medoid2,cluster2-medoid1,17.35758702898562,average
cluster1-medoid2,cluster2-medoid1,1.0,centroid
cluster1-medoid2,cluster2-medoid1,11.374727668845315,average_centroid
cluster1-medoid2,cluster2-medoid2,1.0,single
cluster1-medoid2,cluster2-medoid2,58.0,complete
cluster1-medoid2,cluster2-medoid2,24.88761650743873,average
cluster1-medoid2,cluster2-medoid2,14.0,centroid
cluster1-medoid2,cluster2-medoid2,20.305685967657798,average_centroid
cluster0-medoid0,cluster1-medoid0,4.0,single
cluster0-medoid0,cluster1-medoid0,80.0,complete
cluster0-medoid0,cluster1-medoid0,35.92680003795202,average
cluster0-medoid0,cluster1-medoid0,24.0,centroid
cluster0-medoid0,cluster1-medoid0,30.04811898512686,average_centroid
