,model_clstr,fitness,precision
0,cluster1-medoid0,0.9998221353916331,0.110987472000726
1,cluster1-medoid1,0.9999021166953479,0.4838714494788089
2,cluster1-medoid2,0.9999192766900293,0.2405605293888673
3,cluster2-medoid0,0.9998272959904467,0.11205389369205931
4,cluster2-medoid1,0.9998823233592004,0.5183219897207538
5,cluster2-medoid2,0.9999219862044535,0.24408228063974002
6,cluster3-medoid0,0.9998358298361105,0.1607910576096303
7,cluster3-medoid1,0.9998253657403738,0.09425485730552985
8,cluster3-medoid2,0.9999018023825736,0.48117075030984846
9,cluster0-medoid0,0.9999004312130434,0.5361058601134215
10,cluster0-medoid1,0.9998682939042906,0.10112741887848786
11,cluster0-medoid2,0.9998264849645386,0.10794711268921697
