,model_clstr,fitness,precision
0,cluster1-medoid0,0.9998221353916331,0.110987472000726
1,cluster1-medoid1,0.9998409340465357,0.17816973798420943
2,cluster1-medoid2,0.9998186098667613,0.13870982401683396
3,cluster2-medoid0,0.999843469365402,0.14188244537283423
4,cluster2-medoid1,0.9998407161169693,0.18290637573617785
5,cluster2-medoid2,0.9998287154529107,0.1535364533973208
6,cluster3-medoid0,0.9998358298361105,0.1607910576096303
7,cluster3-medoid1,0.9998253657403738,0.09425485730552985
8,cluster3-medoid2,0.9998397293860772,0.19344516566304315
9,cluster0-medoid0,0.9998260091957912,0.24300482036604654
10,cluster0-medoid1,0.9998454533828129,0.13112533858655506
11,cluster0-medoid2,0.9998264849645386,0.10794711268921697
