model_clstr,fitness,precision,num_traces,num_variants,perc_variants,coverage
complete,0.9998096017766692,0.1678218528411138,23056,7772,1.0,1.0
cluster1-medoid0,0.9998221353916332,0.110987472000726,1777,1171,1.0,1.0
cluster1-medoid1,0.9998409340465356,0.1781697379842094,2430,664,1.0,1.0
cluster1-medoid2,0.9998186098667612,0.1387098240168339,2026,1038,1.0,1.0
cluster2-medoid0,0.999843469365402,0.1418824453728342,3363,1901,1.0,1.0
cluster2-medoid1,0.9998407161169692,0.1829063757361778,5760,1169,1.0,1.0
cluster2-medoid2,0.9998287154529109,0.1535364533973208,3849,1607,1.0,1.0
cluster3-medoid0,0.9998358298361104,0.1607910576096303,524,388,1.0,1.0
cluster3-medoid1,0.9998253657403738,0.0942548573055298,382,344,1.0,1.0
cluster3-medoid2,0.9998397293860772,0.1934451656630431,765,275,1.0,1.0
cluster0-medoid0,0.9998260091957912,0.2430048203660465,672,153,1.0,1.0
cluster0-medoid1,0.9998454533828128,0.131125338586555,724,371,1.0,1.0
cluster0-medoid2,0.9998264849645386,0.1079471126892169,784,586,1.0,1.0
complete,0.9998053011153792,0.166618223033814,20751,5467,0.7034225424601133,0.9
cluster1-medoid0,0.9998247385711048,0.1107911427103952,1600,994,0.8488471391972673,0.9
cluster1-medoid1,0.9998184997074626,0.1790706841803959,2187,421,0.6340361445783133,0.9
cluster1-medoid2,0.9998173027038396,0.0994123309070662,1824,836,0.8053949903660886,0.9
cluster2-medoid0,0.9998438591193514,0.1409945787712355,3027,1565,0.823250920568122,0.9
cluster2-medoid1,0.999845879487382,0.1722232629225243,5184,593,0.5072711719418306,0.9
cluster2-medoid2,0.9998289232763616,0.1529315376438007,3465,1223,0.761045426260112,0.9
cluster3-medoid0,0.99983775377021,0.1581616069687317,472,336,0.865979381443299,0.9
cluster3-medoid1,0.999821812842101,0.0939663011234615,344,306,0.8895348837209303,0.9
cluster3-medoid2,0.9998223315882986,0.1867757832270286,689,199,0.7236363636363636,0.9
cluster0-medoid0,0.9998482836016644,0.2434211228092632,605,86,0.5620915032679739,0.9
cluster0-medoid1,0.9998724264202108,0.1365148329829478,652,299,0.8059299191374663,0.9
cluster0-medoid2,0.999826709767762,0.1077188850036218,706,508,0.8668941979522184,0.9
complete,0.9998437321123228,0.1775147765411006,18445,3161,0.4067164179104477,0.8
cluster1-medoid0,0.9998250404243272,0.1101275191082177,1422,816,0.6968403074295474,0.8
cluster1-medoid1,0.9997861147124328,0.2482054620437476,1944,178,0.2680722891566265,0.8
cluster1-medoid2,0.9998209874583373,0.0983560403289736,1621,633,0.6098265895953757,0.8
cluster2-medoid0,0.9998189472768656,0.1095457175981929,2691,1229,0.6465018411362441,0.8
cluster2-medoid1,0.999809551607984,0.2295068151202161,4609,182,0.155688622754491,0.8
cluster2-medoid2,0.9998310802909508,0.1054513486667418,3080,838,0.5214685749844431,0.8
cluster3-medoid0,0.999840569055398,0.1571410762518179,420,284,0.7319587628865979,0.8
cluster3-medoid1,0.999822201561344,0.0929817147043079,306,268,0.7790697674418605,0.8
cluster3-medoid2,0.9998416720458324,0.1963537059117658,612,122,0.4436363636363636,0.8
cluster0-medoid0,0.999877507763074,0.2901630738489154,539,33,0.2156862745098039,0.8
cluster0-medoid1,0.9998730689708776,0.1336057573710007,580,227,0.6118598382749326,0.8
cluster0-medoid2,0.9998267802322997,0.1072657338955836,628,430,0.7337883959044369,0.8
complete,0.9998043897392828,0.1140627009097496,16141,1342,0.1726711271230056,0.7
cluster1-medoid0,0.999826176317844,0.1028433203676096,1244,638,0.5448334756618275,0.7
cluster1-medoid1,0.99994194076708,0.2850569506280588,1702,71,0.1069277108433734,0.7
cluster1-medoid2,0.999838109006195,0.2071890552931641,1419,431,0.4152215799614643,0.7
cluster2-medoid0,0.9998324446243956,0.1068929688954553,2355,893,0.4697527617043661,0.7
cluster2-medoid1,0.9999141206618992,0.2363458103383671,4037,64,0.0547476475620188,0.7
cluster2-medoid2,0.9998488557637452,0.2005943876093044,2695,453,0.2818917237087741,0.7
cluster3-medoid0,0.9998399187547116,0.093088106822797,367,231,0.595360824742268,0.7
cluster3-medoid1,0.9998220384943196,0.0925705794947994,268,230,0.6686046511627907,0.7
cluster3-medoid2,0.9998488187817208,0.2736806891360709,537,55,0.2,0.7
cluster0-medoid0,0.9999527525752469,0.2367747098839535,471,13,0.0849673202614379,0.7
cluster0-medoid1,0.9998830668668844,0.1306099362096596,507,154,0.4150943396226415,0.7
cluster0-medoid2,0.999827136400928,0.1051123910494928,549,351,0.5989761092150171,0.7
complete,0.9997429045734704,0.1192654723609967,13835,544,0.0699948533196088,0.6
cluster1-medoid0,0.9998266302703324,0.0998020812524446,1067,461,0.3936806148590948,0.6
cluster1-medoid1,0.9999355309192612,0.2517821076393014,1459,29,0.0436746987951807,0.6
cluster1-medoid2,0.9999076961809218,0.1446753300245072,1217,232,0.2235067437379576,0.6
cluster2-medoid0,0.9998127746535488,0.1516174292109607,2018,556,0.2924776433456075,0.6
cluster2-medoid1,0.9999350741851596,0.2483489524557185,3459,26,0.0222412318220701,0.6
cluster2-medoid2,0.999849671139361,0.1294677964966339,2310,224,0.1393901680149346,0.6
cluster3-medoid0,0.9998398829527092,0.0919159944177814,315,179,0.461340206185567,0.6
cluster3-medoid1,0.9998219505094846,0.0923045574950757,230,192,0.5581395348837209,0.6
cluster3-medoid2,0.9999356759687036,0.2463184297033842,460,25,0.0909090909090909,0.6
cluster0-medoid0,0.9999458024235376,0.2365308804204993,410,6,0.0392156862745098,0.6
cluster0-medoid1,0.9998682043190872,0.1010382649326178,435,82,0.2210242587601078,0.6
cluster0-medoid2,0.999823739496511,0.104781233211962,471,273,0.4658703071672355,0.6
complete,0.9997794496563194,0.0987065020770906,11538,218,0.028049408131755,0.5
cluster1-medoid0,0.9998144597073994,0.1616329524344851,889,283,0.2416737830913748,0.5
cluster1-medoid1,0.999902116695348,0.4838714494788089,1222,14,0.0210843373493975,0.5
cluster1-medoid2,0.9999193974539126,0.2409274193548387,1013,133,0.128131021194605,0.5
cluster2-medoid0,0.9998524802810852,0.1766819392230576,1683,294,0.1546554445028932,0.5
cluster2-medoid1,0.9998823233592004,0.5183219897207538,2931,12,0.0102651839178785,0.5
cluster2-medoid2,0.9999228088077108,0.2436473703143178,1928,117,0.0728064716863721,0.5
cluster3-medoid0,0.9998546302582316,0.0909601159410576,262,126,0.3247422680412371,0.5
cluster3-medoid1,0.9998270358136216,0.0961658658541348,191,153,0.4447674418604651,0.5
cluster3-medoid2,0.9999018023825736,0.4811707503098484,384,11,0.04,0.5
cluster0-medoid0,0.9999004312130434,0.5361058601134215,347,3,0.0196078431372549,0.5
cluster0-medoid1,0.9999288372706384,0.2187472821832983,362,44,0.1185983827493261,0.5
cluster0-medoid2,0.9998094233855856,0.0895862530722237,392,194,0.3310580204778157,0.5
