,model_clstr,fitness,precision,coverage
0,cluster1-medoid0,0.9998221353916332,0.110987472000726,1.0
1,cluster1-medoid1,0.9998409340465356,0.1781697379842094,1.0
2,cluster1-medoid2,0.9998186098667612,0.1387098240168339,1.0
3,cluster2-medoid0,0.999843469365402,0.1418824453728342,1.0
4,cluster2-medoid1,0.9998407161169692,0.1829063757361778,1.0
5,cluster2-medoid2,0.9998287154529109,0.1535364533973208,1.0
6,cluster3-medoid0,0.9998358298361104,0.1607910576096303,1.0
7,cluster3-medoid1,0.9998253657403738,0.0942548573055298,1.0
8,cluster3-medoid2,0.9998397293860772,0.1934451656630431,1.0
9,cluster0-medoid0,0.9998260091957912,0.2430048203660465,1.0
10,cluster0-medoid1,0.9998454533828128,0.131125338586555,1.0
11,cluster0-medoid2,0.9998264849645386,0.1079471126892169,1.0
12,cluster1-medoid0,0.9998247385711048,0.1107911427103952,0.9
13,cluster1-medoid1,0.9998184997074626,0.1790706841803959,0.9
14,cluster1-medoid2,0.9998173027038396,0.0994123309070662,0.9
15,cluster2-medoid0,0.9998438591193514,0.1409945787712355,0.9
16,cluster2-medoid1,0.999845879487382,0.1722232629225243,0.9
17,cluster2-medoid2,0.9998289232763616,0.1529315376438007,0.9
18,cluster3-medoid0,0.99983775377021,0.1581616069687317,0.9
19,cluster3-medoid1,0.999821812842101,0.0939663011234615,0.9
20,cluster3-medoid2,0.9998223315882986,0.1867757832270286,0.9
21,cluster0-medoid0,0.9998482836016644,0.2434211228092632,0.9
22,cluster0-medoid1,0.9998724264202108,0.1365148329829478,0.9
23,cluster0-medoid2,0.999826709767762,0.1077188850036218,0.9
24,cluster1-medoid0,0.9998250404243272,0.1101275191082177,0.8
25,cluster1-medoid1,0.9997861147124328,0.2482054620437476,0.8
26,cluster1-medoid2,0.9998209874583373,0.0983560403289736,0.8
27,cluster2-medoid0,0.9998189472768656,0.1095457175981929,0.8
28,cluster2-medoid1,0.999809551607984,0.2295068151202161,0.8
29,cluster2-medoid2,0.9998310802909508,0.1054513486667418,0.8
30,cluster3-medoid0,0.999840569055398,0.1571410762518179,0.8
31,cluster3-medoid1,0.999822201561344,0.0929817147043079,0.8
32,cluster3-medoid2,0.9998416720458324,0.1963537059117658,0.8
33,cluster0-medoid0,0.999877507763074,0.2901630738489154,0.8
34,cluster0-medoid1,0.9998730689708776,0.1336057573710007,0.8
35,cluster0-medoid2,0.9998267802322997,0.1072657338955836,0.8
36,cluster1-medoid0,0.999826176317844,0.1028433203676096,0.7
37,cluster1-medoid1,0.99994194076708,0.2850569506280588,0.7
38,cluster1-medoid2,0.999838109006195,0.2071890552931641,0.7
39,cluster2-medoid0,0.9998324446243956,0.1068929688954553,0.7
40,cluster2-medoid1,0.9999141206618992,0.2363458103383671,0.7
41,cluster2-medoid2,0.9998488557637452,0.2005943876093044,0.7
42,cluster3-medoid0,0.9998399187547116,0.093088106822797,0.7
43,cluster3-medoid1,0.9998220384943196,0.0925705794947994,0.7
44,cluster3-medoid2,0.9998488187817208,0.2736806891360709,0.7
45,cluster0-medoid0,0.9999527525752469,0.2367747098839535,0.7
46,cluster0-medoid1,0.9998830668668844,0.1306099362096596,0.7
47,cluster0-medoid2,0.999827136400928,0.1051123910494928,0.7
48,cluster1-medoid0,0.9998266302703324,0.0998020812524446,0.6
49,cluster1-medoid1,0.9999355309192612,0.2517821076393014,0.6
50,cluster1-medoid2,0.9999152612275062,0.1490738805772462,0.6
51,cluster2-medoid0,0.9998127746535488,0.1516174292109607,0.6
52,cluster2-medoid1,0.9999350741851596,0.2483489524557185,0.6
53,cluster2-medoid2,0.999849671139361,0.1294677964966339,0.6
54,cluster3-medoid0,0.9998398829527092,0.0919159944177814,0.6
55,cluster3-medoid1,0.9998219505094846,0.0923045574950757,0.6
56,cluster3-medoid2,0.9999356759687036,0.2463184297033842,0.6
57,cluster0-medoid0,0.9999458024235376,0.2365308804204993,0.6
58,cluster0-medoid1,0.9998682043190872,0.1010382649326178,0.6
59,cluster0-medoid2,0.999823739496511,0.104781233211962,0.6
60,cluster1-medoid0,0.9998144597073994,0.1616329524344851,0.5
61,cluster1-medoid1,0.999902116695348,0.4838714494788089,0.5
62,cluster1-medoid2,0.9999193974539126,0.239732353103077,0.5
63,cluster2-medoid0,0.9998524802810852,0.1766819392230576,0.5
64,cluster2-medoid1,0.9998823233592004,0.5183219897207538,0.5
65,cluster2-medoid2,0.9999228088077108,0.2425798000200044,0.5
66,cluster3-medoid0,0.9998546302582316,0.0909601159410576,0.5
67,cluster3-medoid1,0.9998270358136216,0.0961658658541348,0.5
68,cluster3-medoid2,0.9999018023825736,0.4811707503098484,0.5
69,cluster0-medoid0,0.9999004312130434,0.5361058601134215,0.5
70,cluster0-medoid1,0.9999288372706384,0.2176192701033068,0.5
71,cluster0-medoid2,0.9998094233855856,0.0895862530722237,0.5
72,complete,0.9998096017766691,0.16782185284111384,1.0
73,complete,0.9998053011153791,0.16661822303381402,0.9
74,complete,0.9998437321123228,0.1775147765411006,0.8
75,complete,0.9998043897392828,0.11406270090974968,0.7
76,complete,0.9997429045734704,0.11926547236099672,0.6
77,complete,0.9997794496563194,0.09870650207709064,0.5
