model_clstr,fitness,precision,coverage
cluster0-medoid0,0.9997374104130862,0.2555628085001621,1.0
cluster0-medoid1,0.9997342407787236,0.1463287674969426,1.0
cluster3-medoid0,0.9997391339728634,0.2739778386047586,1.0
cluster3-medoid1,0.9997793432901552,0.1025195953459358,1.0
cluster3-medoid2,0.9997019380543338,0.2303988950560827,1.0
cluster3-medoid3,0.9997773282560486,0.151473831287982,1.0
cluster1-medoid0,0.9997569393596196,0.0800911606706821,1.0
cluster1-medoid1,0.999727478648012,0.2121436678642115,1.0
cluster4-medoid0,0.9997807717458016,0.2017970811985716,1.0
cluster4-medoid1,0.9996323393843192,0.3282556242471159,1.0
cluster4-medoid2,0.9997755705567324,0.3888947167793964,1.0
cluster4-medoid3,0.9997058090526812,0.1951172727633511,1.0
cluster4-medoid4,0.9996841931960068,0.2878424254511024,1.0
cluster2-medoid0,0.999690549346684,0.3169061185974045,1.0
cluster2-medoid1,0.9997121449924246,0.2023875484813379,1.0
cluster2-medoid2,0.9997765353110208,0.1668282541554638,1.0
cluster0-medoid0,0.9997421601548324,0.3321621555709622,0.9
cluster0-medoid1,0.9998065235413252,0.1731776897099415,0.9
cluster3-medoid0,0.999789983409338,0.267946982025068,0.9
cluster3-medoid1,0.9997783923069448,0.1008700625407097,0.9
cluster3-medoid2,0.9997087880652092,0.3690129910041542,0.9
cluster3-medoid3,0.999776954622124,0.1430031610228842,0.9
cluster1-medoid0,0.9997585909236396,0.0837277728028655,0.9
cluster1-medoid1,0.9997385168560262,0.1925403862427848,0.9
cluster4-medoid0,0.9997810566533872,0.1900700605548514,0.9
cluster4-medoid1,0.9998367777612028,0.8149276327741779,0.9
cluster4-medoid2,0.9999617656909212,0.9033986266355676,0.9
cluster4-medoid3,0.9997479157292828,0.1873830869082962,0.9
cluster4-medoid4,0.999952547839992,0.6639200295910985,0.9
cluster2-medoid0,0.9998096146680636,0.3412181817799929,0.9
cluster2-medoid1,0.9997980877584292,0.2345401691331924,0.9
cluster2-medoid2,0.9996032781563158,0.1648745247437129,0.9
cluster0-medoid0,0.9998905778136256,0.4638151673376752,0.8
cluster0-medoid1,0.9998060175399424,0.1724882349853921,0.8
cluster3-medoid0,0.9999401919651658,0.4408740359897172,0.8
cluster3-medoid1,0.9997780303473084,0.1016039060424757,0.8
