cluster,similarity,similarity_type
cluster0-medoid0,77.0,complete
cluster0-medoid0,10.830161881568849,average
cluster0-medoid0,6.560942301126665,medoid
cluster0-medoid1,52.0,complete
cluster0-medoid1,18.15160202116724,average
cluster0-medoid1,13.024864024864025,medoid
cluster1-medoid0,42.0,complete
cluster1-medoid0,6.994104325724059,average
cluster1-medoid0,4.006564551422319,medoid
cluster1-medoid1,50.0,complete
cluster1-medoid1,14.858654128709961,average
cluster1-medoid1,9.365853658536585,medoid
cluster1-medoid2,30.0,complete
cluster1-medoid2,5.805771472988729,average
cluster1-medoid2,3.1975806451612905,medoid
cluster1-medoid3,44.0,complete
cluster1-medoid3,12.869458128078819,average
cluster1-medoid3,8.464285714285714,medoid
cluster1-medoid4,47.0,complete
cluster1-medoid4,8.767654986522912,average
cluster1-medoid4,5.266666666666667,medoid
cluster1-medoid5,62.0,complete
cluster1-medoid5,17.483030303030304,average
cluster1-medoid5,11.171717171717171,medoid
