model_clstr,fitness,precision,f1_score,num_traces,num_variants,perc_variants,coverage
complete,0.9997976472278316,0.14287963769095025,0.25002811814943965,9030,2304,1.0,1
cluster0-medoid0,0.9998508994556857,0.10326523634498674,0.18719668055095098,254,248,1.0,1
cluster0-medoid1,0.9998669026305974,0.18848976438779452,0.3171853739313071,677,458,1.0,1
cluster0-medoid2,0.9997668949238772,0.236910478658236,0.383051002117081,4425,202,1.0,1
cluster0-medoid3,0.9998566331795494,0.16090551969173794,0.27720140733573084,580,495,1.0,1
cluster1-medoid0,0.9998141679799721,0.21701717091690653,0.3566259928419582,1451,159,1.0,1
cluster1-medoid1,0.9998632557635095,0.1159934612214103,0.20787184952830293,538,501,1.0,1
cluster1-medoid2,0.9997681565900983,0.18778741846362967,0.3161854234564179,472,382,1.0,1
cluster2-medoid0,0.9998320472760623,0.20062862791817693,0.334196589590344,433,89,1.0,1
cluster2-medoid1,0.999876269099196,0.16629907366563745,0.2851689471280153,118,114,1.0,1
cluster2-medoid2,0.9999334952720444,0.25538732676439957,0.40686068105750894,82,77,1.0,1
