model_clstr,fitness,precision,f1_score,num_traces,num_variants,perc_variants,coverage
complete,0.9627340056534311,0.20680170421995514,0.34046849771040766,11683,2971,1.0,1
cluster0-medoid0,0.8703843497977678,0.29340724532721085,0.4388708004419878,5629,245,1.0,1
cluster0-medoid1,0.9261489933336735,0.16216505608052034,0.2760030590870618,330,323,1.0,1
cluster0-medoid2,0.9905840213856086,0.23352529377922837,0.37795059925008995,963,649,1.0,1
cluster0-medoid3,0.9992454179823932,0.20680456618282617,0.3426864854511974,693,572,1.0,1
cluster1-medoid0,0.9998482775768183,0.14512980195763958,0.2534682280929095,693,643,1.0,1
cluster1-medoid1,0.977793874392506,0.22362273079312667,0.3639985254085258,627,506,1.0,1
cluster1-medoid2,0.9208572553197439,0.3158708809683928,0.47038954471755545,1896,194,1.0,1
cluster2-medoid0,0.9990168687128334,0.21693206369528684,0.3564603499705842,71,68,1.0,1
cluster2-medoid1,0.9841815229219556,0.15632589110849981,0.2697975509682864,96,94,1.0,1
cluster2-medoid2,0.9287969444653968,0.31845764416241895,0.47429368396248994,560,102,1.0,1
cluster2-medoid3,0.9770527335247478,0.2814251124178485,0.43698373595828965,125,116,1.0,1
