,AMOUNT_REQ,CASE_ID,time:timestamp,Categorical
0,20000,173688,2011-10-01 00:38:44.546000+02:00,Placeholder
1,5000,173691,2011-10-01 08:08:58.256000+02:00,Placeholder
2,15000,173697,2011-10-01 08:11:08.866000+02:00,Placeholder
3,5000,173700,2011-10-01 08:15:39.894000+02:00,Placeholder
4,13500,173703,2011-10-01 09:45:25.806000+02:00,Placeholder
5,18000,173706,2011-10-01 09:45:37.274000+02:00,Placeholder
6,11000,173709,2011-10-01 09:57:42.994000+02:00,Placeholder
7,30000,173712,2011-10-01 09:58:30.533000+02:00,Placeholder
8,45000,173715,2011-10-01 09:59:10.501000+02:00,Placeholder
9,9000,173721,2011-10-01 11:07:34.279000+02:00,Placeholder
10,15000,173724,2011-10-01 11:52:14.305000+02:00,Placeholder
11,10000,173727,2011-10-01 12:08:46.663000+02:00,Placeholder
12,6000,173733,2011-10-01 12:39:34.037000+02:00,Placeholder
13,6000,173742,2011-10-01 13:44:12.627000+02:00,Placeholder
14,2000,173745,2011-10-01 14:08:16.294000+02:00,Placeholder
15,5000,173748,2011-10-01 14:09:16.088000+02:00,Placeholder
16,10000,173751,2011-10-01 14:14:39.442000+02:00,Placeholder
17,20000,173754,2011-10-01 14:50:09.763000+02:00,Placeholder
18,25000,173757,2011-10-01 15:02:58.635000+02:00,Placeholder
19,32000,173760,2011-10-01 15:15:17.454000+02:00,Placeholder
20,4000,173763,2011-10-01 16:09:22.741000+02:00,Placeholder
21,2000,173766,2011-10-01 16:12:02.338000+02:00,Placeholder
22,10000,173769,2011-10-01 16:34:46.838000+02:00,Placeholder
23,3000,173772,2011-10-01 16:39:55.798000+02:00,Placeholder
24,10000,173775,2011-10-01 16:59:00.006000+02:00,Placeholder
25,10000,173778,2011-10-01 17:49:31.297000+02:00,Placeholder
26,1500,173781,2011-10-01 18:10:34.289000+02:00,Placeholder
27,5000,173787,2011-10-01 19:06:01.646000+02:00,Placeholder
28,5000,173790,2011-10-01 19:14:15.425000+02:00,Placeholder
29,6000,173793,2011-10-01 19:32:46.330000+02:00,Placeholder
30,15000,173796,2011-10-01 20:19:11.828000+02:00,Placeholder
31,10000,173799,2011-10-01 20:27:34.477000+02:00,Placeholder
32,25000,173802,2011-10-01 20:35:21.093000+02:00,Placeholder
33,5000,173805,2011-10-01 21:07:54.696000+02:00,Placeholder
34,4000,173808,2011-10-01 21:24:58.958000+02:00,Placeholder
35,14542,173814,2011-10-01 23:01:43.529000+02:00,Placeholder
36,7000,173817,2011-10-02 00:57:28.742000+02:00,Placeholder
37,7500,173820,2011-10-02 01:39:06.969000+02:00,Placeholder
38,15000,173823,2011-10-02 09:23:29.387000+02:00,Placeholder
39,13000,173826,2011-10-02 09:39:10.811000+02:00,Placeholder
40,5000,173829,2011-10-02 09:54:34.096000+02:00,Placeholder
41,10000,173832,2011-10-02 09:54:39.910000+02:00,Placeholder
42,10000,173835,2011-10-02 10:20:29.934000+02:00,Placeholder
43,8000,173838,2011-10-02 10:52:41.359000+02:00,Placeholder
44,10000,173841,2011-10-02 10:57:22.698000+02:00,Placeholder
45,15500,173844,2011-10-02 11:03:26.715000+02:00,Placeholder
46,5000,173847,2011-10-02 11:26:19.626000+02:00,Placeholder
47,6500,173850,2011-10-02 11:30:23.255000+02:00,Placeholder
48,7500,173853,2011-10-02 11:33:24.421000+02:00,Placeholder
49,12000,173856,2011-10-02 11:45:33.566000+02:00,Placeholder
50,5000,173859,2011-10-02 11:47:41.502000+02:00,Placeholder
51,10000,173862,2011-10-02 12:04:39.114000+02:00,Placeholder
52,5000,173865,2011-10-02 12:17:02.798000+02:00,Placeholder
53,5000,173868,2011-10-02 12:24:18.960000+02:00,Placeholder
54,15500,173871,2011-10-02 13:05:34.993000+02:00,Placeholder
55,12500,173874,2011-10-02 13:10:37.309000+02:00,Placeholder
56,29387,173877,2011-10-02 13:21:47.147000+02:00,Placeholder
57,2500,173883,2011-10-02 13:46:35.860000+02:00,Placeholder
58,3000,173886,2011-10-02 13:52:34.123000+02:00,Placeholder
59,7500,173889,2011-10-02 14:42:12.094000+02:00,Placeholder
60,15000,173892,2011-10-02 14:53:44.931000+02:00,Placeholder
61,5500,173895,2011-10-02 16:03:10.035000+02:00,Placeholder
62,7000,173898,2011-10-02 16:05:39.817000+02:00,Placeholder
63,5750,173901,2011-10-02 16:12:08.647000+02:00,Placeholder
64,5000,173904,2011-10-02 16:52:36.497000+02:00,Placeholder
65,5000,173907,2011-10-02 16:53:33+02:00,Placeholder
66,4000,173910,2011-10-02 17:17:43.476000+02:00,Placeholder
67,5500,173913,2011-10-02 17:18:05.023000+02:00,Placeholder
68,2500,173916,2011-10-02 17:45:59.197000+02:00,Placeholder
69,4000,173919,2011-10-02 17:55:10.791000+02:00,Placeholder
70,15000,173922,2011-10-02 17:56:36.477000+02:00,Placeholder
71,5000,173925,2011-10-02 18:00:06.036000+02:00,Placeholder
72,8000,173931,2011-10-02 19:27:33.681000+02:00,Placeholder
73,15000,173934,2011-10-02 20:05:03.216000+02:00,Placeholder
74,6000,173937,2011-10-02 21:07:34.738000+02:00,Placeholder
75,8000,173946,2011-10-02 22:51:17.311000+02:00,Placeholder
76,5000,173952,2011-10-02 23:13:39.885000+02:00,Placeholder
