RequestedAmount,LoanGoal,ApplicationType,CASE_ID,time:timestamp
20000.0,Existing loan takeover,New credit,652823628,2016-01-01 09:51:15.304000+00:00
10000.0,Home improvement,New credit,1691306052,2016-01-01 10:16:11.500000+00:00
15000.0,Home improvement,New credit,428409768,2016-01-01 11:19:38.177000+00:00
35000.0,Home improvement,New credit,828200680,2016-01-01 13:00:04.360000+00:00
13000.0,Existing loan takeover,New credit,1085880569,2016-01-01 13:05:19.866000+00:00
15000.0,Home improvement,New credit,1878239836,2016-01-01 13:35:26.422000+00:00
15000.0,Car,New credit,619403287,2016-01-01 14:13:16.064000+00:00
11000.0,Car,New credit,1710223761,2016-01-01 14:23:21.334000+00:00
5000.0,"Other, see explanation",New credit,1529124572,2016-01-01 14:42:36.728000+00:00
5000.0,"Other, see explanation",New credit,387012864,2016-01-01 16:00:01.353000+00:00
6850.0,Car,New credit,1120819670,2016-01-01 16:22:50.533000+00:00
29500.0,Existing loan takeover,New credit,42838382,2016-01-01 16:58:48.775000+00:00
40000.0,Remaining debt home,New credit,1966208034,2016-01-01 17:06:50.703000+00:00
5000.0,Car,New credit,1806387393,2016-01-01 17:58:26.178000+00:00
5000.0,Not speficied,New credit,1111870538,2016-01-01 19:13:17.386000+00:00
15000.0,Car,New credit,1017492916,2016-01-01 19:18:43.997000+00:00
15000.0,Existing loan takeover,New credit,2082119944,2016-01-01 21:14:25.752000+00:00
17000.0,Not speficied,New credit,758985626,2016-01-01 21:24:12.454000+00:00
17000.0,Home improvement,New credit,1018615109,2016-01-01 21:57:30.249000+00:00
5000.0,Car,New credit,1846626914,2016-01-02 08:57:01.662000+00:00
10000.0,Home improvement,New credit,546206358,2016-01-02 08:57:03.601000+00:00
10000.0,Car,New credit,196483749,2016-01-02 09:12:07.481000+00:00
7500.0,Car,New credit,1363980603,2016-01-02 09:24:04.072000+00:00
12000.0,Car,New credit,1553362978,2016-01-02 09:27:03.845000+00:00
6000.0,Home improvement,New credit,1197857445,2016-01-02 09:33:11.203000+00:00
6000.0,Car,New credit,931862671,2016-01-02 10:15:48.153000+00:00
6600.0,Caravan / Camper,New credit,1059184025,2016-01-02 11:10:04.322000+00:00
20000.0,Car,New credit,1395142997,2016-01-02 11:23:37.115000+00:00
15000.0,Car,New credit,2015287405,2016-01-02 11:27:01.856000+00:00
9000.0,Existing loan takeover,Limit raise,493034835,2016-01-02 12:24:39.241000+00:00
15000.0,"Other, see explanation",Limit raise,842511489,2016-01-02 12:35:04.926000+00:00
0.0,Home improvement,Limit raise,1397856354,2016-01-02 12:54:35.336000+00:00
15000.0,Home improvement,Limit raise,2035768049,2016-01-02 13:07:12.386000+00:00
20000.0,"Other, see explanation",Limit raise,1307111345,2016-01-02 13:11:46.112000+00:00
15000.0,Car,Limit raise,821425679,2016-01-02 13:18:32.154000+00:00
10000.0,Car,New credit,1294530310,2016-01-02 13:54:22.116000+00:00
40000.0,Home improvement,New credit,470922426,2016-01-02 14:04:02.686000+00:00
11000.0,Car,New credit,1461440233,2016-01-02 14:49:26.671000+00:00
40000.0,"Other, see explanation",New credit,857715587,2016-01-02 14:59:43.597000+00:00
0.0,Car,Limit raise,351152063,2016-01-02 15:05:26.838000+00:00
15000.0,Car,Limit raise,2055987002,2016-01-02 15:36:05.498000+00:00
15000.0,Existing loan takeover,New credit,1118236712,2016-01-02 16:18:10.582000+00:00
8000.0,Existing loan takeover,New credit,1234535641,2016-01-02 16:23:04.942000+00:00
5000.0,Car,New credit,1898882436,2016-01-02 16:28:40.753000+00:00
15000.0,Existing loan takeover,New credit,2110144842,2016-01-02 17:28:46.400000+00:00
25000.0,Existing loan takeover,New credit,587387633,2016-01-02 19:08:09.318000+00:00
5000.0,Car,New credit,901793095,2016-01-02 19:31:09.947000+00:00
17000.0,Car,New credit,340403559,2016-01-02 20:06:53.324000+00:00
15000.0,Car,New credit,1825104006,2016-01-02 20:20:30.638000+00:00
5000.0,Home improvement,New credit,593655901,2016-01-02 21:46:09.069000+00:00
15000.0,Car,New credit,1767756144,2016-01-03 03:12:06.921000+00:00
7500.0,Tax payments,New credit,446334558,2016-01-03 08:22:08.002000+00:00
20000.0,"Other, see explanation",New credit,130460765,2016-01-03 08:40:31.866000+00:00
12500.0,Existing loan takeover,New credit,1300843234,2016-01-03 09:06:51.553000+00:00
24000.0,Home improvement,New credit,1588619628,2016-01-03 09:57:28.137000+00:00
6750.0,Car,New credit,505474597,2016-01-03 09:58:49.721000+00:00
8300.0,Existing loan takeover,New credit,1765204099,2016-01-03 09:58:59.556000+00:00
6000.0,Car,New credit,987262285,2016-01-03 10:59:06.782000+00:00
22000.0,Home improvement,New credit,1947648225,2016-01-03 12:40:33.815000+00:00
35000.0,Home improvement,New credit,798605556,2016-01-03 14:01:52.706000+00:00
10000.0,Car,New credit,2062932311,2016-01-03 14:35:53.926000+00:00
5000.0,Car,New credit,430902047,2016-01-03 15:35:18.353000+00:00
25000.0,Home improvement,New credit,1370588808,2016-01-03 16:10:23.744000+00:00
15000.0,Caravan / Camper,New credit,909491524,2016-01-03 17:13:55.454000+00:00
15000.0,Existing loan takeover,New credit,396349881,2016-01-03 17:48:44.322000+00:00
10000.0,Home improvement,New credit,930742634,2016-01-03 18:44:02.905000+00:00
13500.0,Car,New credit,2068443797,2016-01-03 18:50:16.638000+00:00
5000.0,"Other, see explanation",New credit,354702724,2016-01-03 19:16:08.587000+00:00
5000.0,"Other, see explanation",New credit,1357431492,2016-01-03 19:19:57.948000+00:00
5000.0,Car,New credit,1723779444,2016-01-03 21:11:00.861000+00:00
10000.0,Home improvement,New credit,1754646859,2016-01-03 21:23:24.985000+00:00
5000.0,Car,New credit,2002564265,2016-01-03 22:03:36.391000+00:00
50000.0,Home improvement,New credit,58755651,2016-01-04 03:22:04.024000+00:00
10000.0,Home improvement,New credit,774787486,2016-01-04 06:54:48.281000+00:00
5000.0,Home improvement,New credit,2105878744,2016-01-04 07:31:20.774000+00:00
9000.0,Car,New credit,952532843,2016-01-04 08:28:43.832000+00:00
25000.0,Caravan / Camper,Limit raise,914660918,2016-01-04 08:36:08.826000+00:00
8000.0,Existing loan takeover,New credit,167944225,2016-01-04 08:37:33.791000+00:00
6000.0,"Other, see explanation",New credit,1962860870,2016-01-04 08:40:19.338000+00:00
20000.0,Car,Limit raise,1696031128,2016-01-04 08:40:23.096000+00:00
11000.0,Remaining debt home,New credit,1886382319,2016-01-04 08:51:28.458000+00:00
5000.0,Home improvement,New credit,1250134245,2016-01-04 08:57:06.634000+00:00
50000.0,"Other, see explanation",Limit raise,1044610848,2016-01-04 08:57:50.577000+00:00
0.0,Home improvement,New credit,854524772,2016-01-04 09:06:22.173000+00:00
0.0,Unknown,New credit,927205634,2016-01-04 09:14:17.249000+00:00
30000.0,Home improvement,Limit raise,1674281629,2016-01-04 09:17:19.225000+00:00
30000.0,Car,Limit raise,299986859,2016-01-04 09:23:38.465000+00:00
20600.0,Existing loan takeover,New credit,1252717204,2016-01-04 09:38:02.346000+00:00
15000.0,Caravan / Camper,New credit,24648067,2016-01-04 09:42:16.359000+00:00
15000.0,Not speficied,New credit,1823402778,2016-01-04 09:46:10.645000+00:00
22000.0,Extra spending limit,Limit raise,895241174,2016-01-04 10:06:39.718000+00:00
15000.0,Car,New credit,1290239114,2016-01-04 10:10:35.773000+00:00
23500.0,"Other, see explanation",Limit raise,1787371920,2016-01-04 10:18:31.591000+00:00
10000.0,Car,Limit raise,1471099537,2016-01-04 10:26:46.907000+00:00
25000.0,Car,Limit raise,37839400,2016-01-04 10:31:47.066000+00:00
0.0,Car,Limit raise,1128910355,2016-01-04 10:38:47.611000+00:00
6000.0,"Other, see explanation",Limit raise,54405635,2016-01-04 10:40:54.565000+00:00
16000.0,Existing loan takeover,New credit,395903076,2016-01-04 10:43:43.965000+00:00
10000.0,Not speficied,New credit,1101997724,2016-01-04 10:59:33.699000+00:00
20000.0,Home improvement,New credit,74505494,2016-01-04 11:08:36.516000+00:00
43000.0,Existing loan takeover,New credit,525275343,2016-01-04 11:13:38.021000+00:00
30000.0,Home improvement,New credit,106973225,2016-01-04 11:18:36.651000+00:00
15000.0,Home improvement,New credit,1315608886,2016-01-04 11:31:28.230000+00:00
10500.0,Home improvement,New credit,1538441067,2016-01-04 11:37:00.036000+00:00
5500.0,"Other, see explanation",New credit,2040511284,2016-01-04 11:53:44.913000+00:00
