amount,article,points,vehicleClass,CASE_ID
35.0,157,0,A,A1
35.0,157,0,A,A100
36.0,157,0,A,A10000
36.0,157,0,A,A10001
36.0,157,0,A,A10004
36.0,157,0,A,A10005
36.0,157,0,A,A10007
36.0,157,0,A,A10008
22.0,7,0,A,A10009
21.0,7,0,A,A1001
36.0,157,0,A,A10010
36.0,157,0,A,A10011
36.0,157,0,A,A10012
36.0,157,0,A,A10015
22.0,7,0,A,A10018
36.0,157,0,A,A10019
21.0,7,0,A,A1002
36.0,157,0,A,A10021
22.0,7,0,A,A10022
36.0,157,0,A,A10023
36.0,157,0,A,A10024
36.0,157,0,A,A10025
36.0,157,0,A,A10026
36.0,157,0,A,A10029
22.0,7,0,A,A10030
36.0,157,0,A,A10033
36.0,157,0,A,A10034
36.0,157,0,A,A10041
36.0,157,0,A,A10042
36.0,157,0,A,A10043
36.0,157,0,A,A10044
36.0,157,0,A,A10045
36.0,157,0,A,A10046
36.0,157,0,A,A10047
36.0,157,0,A,A10049
22.0,7,0,A,A10050
36.0,157,0,A,A10054
36.0,157,0,A,A10056
36.0,157,0,A,A10059
21.0,7,0,A,A1006
36.0,157,0,C,A10060
36.0,157,0,A,A10061
36.0,157,0,A,A10063
36.0,157,0,A,A10067
36.0,157,0,A,A10068
36.0,157,0,A,A10069
21.0,7,0,A,A1007
36.0,157,0,A,A10071
36.0,157,0,A,A10072
36.0,157,0,A,A10074
36.0,157,0,A,A10075
36.0,157,0,A,A10076
36.0,157,0,A,A10077
36.0,157,0,A,A10078
36.0,157,0,A,A10079
21.0,7,0,A,A1008
36.0,157,0,A,A10082
36.0,157,0,A,A10083
36.0,157,0,A,A10085
36.0,157,0,A,A10089
21.0,7,0,A,A1009
36.0,157,0,A,A10090
36.0,157,0,A,A10091
22.0,7,0,A,A10092
36.0,157,0,A,A10095
36.0,157,0,A,A10097
36.0,157,0,A,A10099
35.0,7,0,A,A101
36.0,157,0,A,A10101
36.0,157,0,A,A10102
36.0,157,0,A,A10104
36.0,157,0,A,A10106
36.0,157,0,A,A10107
36.0,157,0,A,A10108
36.0,157,0,A,A10109
36.0,157,0,A,A10112
36.0,157,0,A,A10113
36.0,157,0,A,A10115
36.0,157,0,A,A10117
36.0,157,0,A,A10118
36.0,157,0,A,A10119
36.0,157,0,A,A10120
36.0,157,0,A,A10121
36.0,157,0,A,A10122
36.0,157,0,A,A10124
36.0,157,0,A,A10125
36.0,157,0,A,A10126
36.0,157,0,A,A10127
21.0,7,0,A,A1013
36.0,157,0,A,A10130
36.0,157,0,A,A10131
36.0,157,0,A,A10137
36.0,157,0,A,A10138
36.0,157,0,A,A10139
21.0,7,0,A,A1014
36.0,157,0,A,A10140
74.0,158,2,A,A10141
36.0,157,0,A,A10143
22.0,7,0,A,A10144
36.0,157,0,A,A10147
36.0,157,0,A,A10150
36.0,157,0,A,A10151
36.0,157,0,A,A10152
36.0,157,0,A,A10153
36.0,157,0,A,A10154
36.0,157,0,A,A10156
36.0,157,0,A,A10157
36.0,157,0,A,A10158
36.0,157,0,A,A10159
21.0,7,0,A,A1016
36.0,157,0,A,A10161
36.0,157,0,A,A10162
36.0,157,0,A,A10163
36.0,157,0,A,A10164
36.0,157,0,A,A10165
36.0,158,0,A,A10168
21.0,7,0,A,A1017
36.0,157,0,A,A10171
36.0,157,0,A,A10174
36.0,157,0,A,A10175
36.0,157,0,A,A10177
36.0,157,0,A,A10178
36.0,157,0,A,A10180
36.0,157,0,A,A10181
36.0,157,0,A,A10184
36.0,157,0,A,A10185
36.0,157,0,A,A10186
36.0,157,0,A,A10187
36.0,157,0,A,A10188
36.0,157,0,A,A10189
36.0,157,0,A,A10192
36.0,157,0,A,A10193
36.0,157,0,A,A10194
36.0,157,0,A,A10195
36.0,157,0,A,A10196
35.0,157,0,A,A102
36.0,157,0,A,A10203
36.0,157,0,A,A10205
36.0,157,0,A,A10206
36.0,157,0,A,A10211
36.0,157,0,A,A10212
36.0,157,0,A,A10213
36.0,157,0,A,A10215
36.0,157,0,A,A10216
36.0,157,0,A,A10218
36.0,157,0,A,A10220
36.0,157,0,A,A10221
36.0,157,0,A,A10223
36.0,157,0,A,A10224
36.0,157,0,A,A10226
36.0,157,0,A,A10228
36.0,157,0,A,A10229
36.0,157,0,A,A10230
36.0,157,0,A,A10231
36.0,157,0,A,A10234
36.0,157,0,A,A10235
36.0,157,0,A,A10236
36.0,157,0,A,A10237
36.0,157,0,A,A10238
36.0,157,0,A,A10242
36.0,157,0,A,A10243
36.0,157,0,A,A10245
36.0,157,0,A,A10247
36.0,157,0,A,A10249
36.0,157,0,A,A10250
36.0,157,0,A,A10251
36.0,157,0,A,A10253
36.0,157,0,A,A10254
36.0,157,0,A,A10262
36.0,157,0,A,A10263
36.0,157,0,A,A10264
36.0,157,0,A,A10265
36.0,157,0,A,A10266
36.0,157,0,A,A10267
36.0,157,0,A,A10268
36.0,157,0,A,A10269
36.0,157,0,A,A10271
36.0,157,0,A,A10273
36.0,157,0,A,A10277
36.0,157,0,A,A10280
36.0,157,0,A,A10281
36.0,157,0,A,A10282
36.0,157,0,A,A10283
36.0,157,0,A,A10284
36.0,157,0,A,A10285
36.0,157,0,A,A10286
36.0,157,0,A,A10287
36.0,157,0,A,A10288
36.0,157,0,A,A10289
36.0,157,0,A,A10290
36.0,157,0,A,A10291
36.0,157,0,A,A10292
36.0,157,0,A,A10295
36.0,157,0,A,A10296
22.0,7,0,A,A10299
35.0,157,0,A,A103
36.0,157,0,A,A10304
36.0,157,0,A,A10305
36.0,157,0,A,A10306
22.0,7,0,A,A10308
36.0,157,0,A,A10309
36.0,157,0,A,A10310
36.0,157,0,A,A10311
36.0,157,0,A,A10312
36.0,157,0,A,A10317
36.0,157,0,A,A10318
36.0,157,0,A,A10319
36.0,157,0,A,A10320
36.0,157,0,A,A10321
36.0,157,0,A,A10322
36.0,157,0,A,A10323
36.0,157,0,A,A10324
36.0,157,0,A,A10325
36.0,157,0,A,A10326
36.0,157,0,A,A10328
36.0,157,0,A,A10331
36.0,157,0,A,A10332
36.0,157,0,A,A10333
36.0,157,0,A,A10335
36.0,157,0,A,A10337
36.0,157,0,A,A10338
36.0,157,0,A,A10339
36.0,157,0,A,A10342
36.0,157,0,A,A10344
36.0,157,0,A,A10345
36.0,157,0,A,A10349
36.0,157,0,A,A10351
36.0,157,0,A,A10354
36.0,157,0,A,A10357
36.0,157,0,A,A10358
36.0,157,0,A,A10359
22.0,7,0,A,A10361
36.0,157,0,A,A10366
36.0,157,0,A,A10367
36.0,157,0,A,A10368
36.0,157,0,A,A10373
